medicine_name,strength_formulation,category,prescriber_level,notes
Digoxin,250mcg tablet,Cardiac Glycoside,Physician,
Doxycycline,100mg capsule,Antibiotic,Physician,
Efavirenz,200mg tablet,Antiretroviral,Physician/Specialist,
Efavirenz,600mg tablet,Antiretroviral,Physician/Specialist,
Enalapril,2.5mg tablet,Antihypertensive,Physician,
Enalapril,5mg tablet,Antihypertensive,Physician,
Enalapril,10mg tablet,Antihypertensive,Physician,
Erythromycin,250mg tablet,Antibiotic,Any Prescriber,
Erythromycin,500mg tablet,Antibiotic,Any Prescriber,
Ethambutol,400mg tablet,Antituberculosis,Physician,
Ferrous Sulphate,200mg tablet,Iron supplement,Any Prescriber,
Ferrous Sulphate + Folic Acid,200mg + 0.25mg tablet,Iron/Folate supplement,Any Prescriber,
Fluconazole,150mg capsule,Antifungal,Physician,
Fluconazole,200mg capsule,Antifungal,Physician,
Folic Acid,5mg tablet,Vitamin/Supplement,Any Prescriber,
Furosemide,40mg tablet,Diuretic,Physician,
Furosemide,10mg/ml injection,Diuretic,Physician,
Gentamicin,80mg/2ml injection,Antibiotic,Physician,
Glibenclamide,5mg tablet,Antidiabetic,Physician,
Gliclazide,80mg tablet,Antidiabetic,Physician,
Haloperidol,5mg tablet,Antipsychotic,Physician/Specialist,
Haloperidol,10mg tablet,Antipsychotic,Physician/Specialist,
Hydralazine,25mg tablet,Antihypertensive,Physician,
Hydralazine,20mg injection,Antihypertensive,Physician,
Hydrochlorothiazide,25mg tablet,Diuretic/Antihypertensive,Physician,
Hydroxyzine,25mg tablet,Antihistamine,Physician,
Ibuprofen,200mg tablet,NSAID,Any Prescriber,
Ibuprofen,400mg tablet,NSAID,Any Prescriber,
Insulin (Soluble),100 IU/ml injection (10ml),Antidiabetic,Physician,
Insulin (Isophane),100 IU/ml injection (10ml),Antidiabetic,Physician,
Isoniazid,100mg tablet,Antituberculosis,Physician,
Isoniazid,300mg tablet,Antituberculosis,Physician,
Ivermectin,3mg tablet,Antiparasitic,Physician,
Ketoconazole,200mg tablet,Antifungal,Physician,
Ketoconazole,2% shampoo,Antifungal,Any Prescriber,
Lamivudine,150mg tablet,Antiretroviral,Physician/Specialist,
Lamivudine,300mg tablet,Antiretroviral,Physician/Specialist,
Lamivudine,10mg/ml oral solution,Antiretroviral,Physician/Specialist,
Levothyroxine,50mcg tablet,Thyroid hormone,Physician,
Levothyroxine,100mcg tablet,Thyroid hormone,Physician,
Lisinopril,5mg tablet,Antihypertensive,Physician,
Lisinopril,10mg tablet,Antihypertensive,Physician,
Loratadine,10mg tablet,Antihistamine,Any Prescriber,
Magnesium Sulphate,50% injection,Anticonvulsant/Eclampsia,Physician,
Mebendazole,100mg tablet,Anthelmintic,Any Prescriber,
Mebendazole,500mg tablet,Anthelmintic,Any Prescriber,
Metformin,500mg tablet,Antidiabetic,Physician,
Metformin,850mg tablet,Antidiabetic,Physician,
Methyldopa,250mg tablet,Antihypertensive,Physician,
Methyldopa,500mg tablet,Antihypertensive,Physician,
Metoclopramide,10mg tablet,Antiemetic,Any Prescriber,
Metoclopramide,5mg/ml injection,Antiemetic,Physician,
Metronidazole,200mg tablet,Antiprotozoal/Antibiotic,Any Prescriber,
Metronidazole,400mg tablet,Antiprotozoal/Antibiotic,Any Prescriber,
Metronidazole,500mg/100ml infusion,Antiprotozoal/Antibiotic,Physician,
Morphine,10mg tablet,Opioid Analgesic,Physician/Specialist,
Morphine,10mg/ml injection,Opioid Analgesic,Physician/Specialist,
Nalidixic Acid,500mg tablet,Antibiotic,Physician,
Nevirapine,200mg tablet,Antiretroviral,Physician/Specialist,
Nifedipine,10mg capsule,Calcium Channel Blocker,Physician,
Nifedipine,20mg tablet (SR),Calcium Channel Blocker,Physician,
Nitrofurantoin,100mg tablet,Antibiotic,Physician,
Omeprazole,20mg capsule,Proton Pump Inhibitor,Physician,
Omeprazole,40mg injection,Proton Pump Inhibitor,Physician,
Oral Rehydration Salts (ORS),Sachet,Rehydration,Any Prescriber,
Oxytocin,10 IU/ml injection,Uterotonic,Physician,
Paracetamol,500mg tablet,Analgesic/Antipyretic,Any Prescriber,
Paracetamol,120mg/5ml syrup,Analgesic/Antipyretic,Any Prescriber,
Pethidine,50mg/ml injection,Opioid Analgesic,Physician,
Phenobarbitone,30mg tablet,Anticonvulsant,Physician,
Phenobarbitone,60mg tablet,Anticonvulsant,Physician,
Phenytoin,100mg tablet,Anticonvulsant,Physician,
Prednisolone,5mg tablet,Corticosteroid,Physician,
Prednisolone,25mg tablet,Corticosteroid,Physician,
Pyrazinamide,500mg tablet,Antituberculosis,Physician,
Quinine,300mg tablet,Antimalarial,Physician,
Quinine,600mg/2ml injection,Antimalarial,Physician,
Ranitidine,150mg tablet,H2 Blocker,Any Prescriber,
Rifampicin,150mg capsule,Antituberculosis,Physician,
Rifampicin,300mg capsule,Antituberculosis,Physician,
Salbutamol,2mg tablet,Bronchodilator,Any Prescriber,
Salbutamol,4mg tablet,Bronchodilator,Any Prescriber,
Salbutamol,100mcg inhaler,Bronchodilator,Physician,
Salbutamol,2.5mg/2.5ml nebuliser solution,Bronchodilator,Physician,
Sodium Valproate,200mg tablet,Anticonvulsant,Physician/Specialist,
Sodium Valproate,500mg tablet,Anticonvulsant,Physician/Specialist,
Spironolactone,25mg tablet,Diuretic,Physician,
Streptomycin,1g injection,Antituberculosis,Physician,
Tenofovir,300mg tablet,Antiretroviral,Physician/Specialist,
Tetracycline,250mg capsule,Antibiotic,Physician,
Tetracycline,500mg capsule,Antibiotic,Physician,
Tramadol,50mg capsule,Opioid Analgesic,Physician,
Tramadol,100mg/2ml injection,Opioid Analgesic,Physician,
Valproic Acid,200mg tablet,Anticonvulsant,Physician/Specialist,
Vitamin A,"200,000 IU capsule",Vitamin/Supplement,Any Prescriber,
Vitamin B Complex,Tablet,Vitamin/Supplement,Any Prescriber,
Zidovudine,100mg capsule,Antiretroviral,Physician/Specialist,
Zidovudine,300mg tablet,Antiretroviral,Physician/Specialist,
Zidovudine,10mg/ml oral solution,Antiretroviral,Physician/Specialist,
Zinc Sulphate,20mg tablet,Supplement/Antidiarrhoeal,Any Prescriber,
